"title","rating","poster","totalRatings","genres"
"Demon Slayer: Kimetsu No Yaiba","9.0","https://m.media-amazon.com/images/M/MV5BZjZjNzI5MDctY2Y4YS00NmM4LTljMmItZTFkOTExNGI3ODRhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY268_CR5,0,182,268_AL_.jpg","4,851","[""Animation"",""Action"",""Fantasy""]"
"The Promised Neverland","8.8","https://m.media-amazon.com/images/M/MV5BMTYwYjYyZDgtMTQ3My00YTI4LThmZTUtZmU1MjllOWRlOTdhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX182_CR0,0,182,268_AL_.jpg","5,205","[""Animation"",""Fantasy"",""Horror""]"
